epoch,step,train_loss,val_loss
0,49,0.18676790595054626,
0,99,0.013571502640843391,
0,149,0.017486201599240303,
0,187,,0.03169017657637596
1,199,0.0034256873186677694,
1,249,0.011982392519712448,
1,299,0.05384505167603493,
1,349,0.0038901728112250566,
1,375,,0.003098268760368228
2,399,0.0007656585075892508,
2,449,0.0007717111147940159,
2,499,0.0009751723264344037,
2,549,0.0002591553202364594,
2,563,,0.001310197520069778
3,599,0.00021626644593197852,
3,649,0.00010750520596047863,
3,699,0.00023004224931355566,
3,749,0.0018644951051101089,
3,751,,0.0003909910738002509
4,799,0.0010163731640204787,
4,849,0.00012958563456777483,
4,899,0.009155615232884884,
4,939,,0.0037286945153027773
5,949,0.0003157529281452298,
5,999,0.00047514750622212887,
5,1049,0.00010078382183564827,
5,1099,0.0015988246304914355,
5,1127,,0.00030914280796423554
6,1149,0.00013177061919122934,
6,1199,0.0021235484164208174,
6,1249,0.06745985895395279,
6,1299,0.00013118392962496728,
6,1315,,0.00013986359408590943
7,1349,0.010784159414470196,
7,1399,0.00012129735114285722,
7,1449,7.781931344652548e-05,
7,1499,2.365055297559593e-05,
7,1503,,5.312286884873174e-05
8,1549,1.2751090253004804e-05,
8,1599,2.7013820727006532e-05,
8,1649,3.117681626463309e-05,
8,1691,,3.441530134296045e-05
9,1699,2.0636427507270128e-05,
9,1749,6.146610303403577e-06,
9,1799,5.990143563394668e-06,
9,1849,2.457888695062138e-05,
9,1879,,8.526312012691051e-05
